Codigo,PaisCodigo,DescripcionES,DescripcionEN,DescripcionFR
AU-08,AU,AUSTRALIA OCCIDENTAL,WESTERN AUSTRALIA,AUSTRALIE-OCCIDENTALE
BB-01,BB,PARROQUIA DE CHRIST CHURCH,CHRIST CHURCH,CHRIST CHURCH
BB-02,BB,SAINT ANDREW,SAINT ANDREW,SAINT ANDREW
BB-03,BB,PARROQUIA DE SAINT GEORGE,SAINT GEORGE,SAINT GEORGE
BB-04,BB,PARROQUIA DE SAINT JAMES,SAINT JAMES,SAINT JAMES
BB-05,BB,PARROQUIA DE SAINT JOHN,SAINT JOHN,SAINT JOHN
BB-06,BB,PARROQUIA DE SAINT JOSEPH,SAINT JOSEPH,SAINT JOSEPH
BB-07,BB,PARROQUIA DE SAINT LUCY,SAINT LUCY,SAINT LUCY
BB-08,BB,PARROQUIA DE SAINT MICHAEL,SAINT MICHAEL,SAINT MICHAEL
BB-09,BB,PARROQUIA DE SAINT PETER,SAINT PETER,SAINT PETER
BB-10,BB,PARROQUIA DE SAINT PHILIP,SAINT PHILIP,SAINT PHILIP
BB-11,BB,PARROQUIA DE SAINT THOMAS,SAINT THOMAS,SAINT THOMAS
BD-81,BD,DACA,DHAKA DIVISION,DHÂKÂ
BD-82,BD,KHULNA,KHULNA DIVISION,KHULNÂ
BD-83,BD,RAJSHAHI,RAJSHAHI DIVISION,RÂJSHÂHÎ
BD-84,BD,CHITTAGONG,CHITTAGONG,CHITTAGONG
BD-85,BD,BARISAL,BARISAL DIVISION,BARISÂL
BD-86,BD,SYLHET,SYLHET DIVISION,SYLHET
BD-87,BD,RANGPUR,RANGPUR DIVISION,RANGPUR
BD-H,BD,MYMENSINGH DIVISION,MYMENSINGH DIVISION,MYMENSINGH DIVISION
BE-BRU,BE,BRUSELAS,BRUSSELS CAPITAL,BRUXELLES-CAPITALE
BE-VLG,BE,FLANDES,FLEMISH REGION,RÉGION FLAMANDE
BE-WAL,BE,VALONIA,WALLONIA,RÉGION WALLONNE
BF-01,BF,REGIÓN BOUCLE DU MOUHOUN,BOUCLE DU MOUHOUN,BOUCLE DU MOUHOUN
BF-02,BF,REGIÓN CASCADES,CASCADES REGION,CASCADES
BF-03,BF,REGIÓN CENTRO,CENTRE REGION,CENTRE
BF-04,BF,REGIÓN CENTRO-ESTE,CENTRE-EST REGION,CENTRE-EST
BF-05,BF,REGIÓN CENTRO-NORTE,CENTRE-NORD REGION,CENTRE-NORD
BF-06,BF,REGIÓN CENTRO-OESTE,CENTRE-OUEST REGION,CENTRE-OUEST
BF-07,BF,REGIÓN CENTRO-SUR,CENTRE-SUD REGION,CENTRE-SUD
BF-08,BF,REGIÓN ESTE,EST REGION,EST
BF-09,BF,REGIÓN HAUTS-BASSINS,HAUTS-BASSINS REGION,HAUTS-BASSINS
BF-10,BF,REGIÓN NORTE,NORD REGION,RÉGION NORD
BF-11,BF,REGIÓN PLATEAU-CENTRAL,PLATEAU-CENTRAL REGION,PLATEAU-CENTRAL
BF-12,BF,REGIÓN DEL SAHEL,SAHEL REGION,SAHEL
BF-13,BF,REGIÓN SUROESTE,SUD-OUEST REGION,SUD-OUEST
BI-09,BI,PROVINCIA DE BUBANZA,BUBANZA,PROVINCE DE BUBANZA
BI-10,BI,PROVINCIA DE BURURI,BURURI,PROVINCE DE BURURI
BI-11,BI,PROVINCIA DE CANKUZO,CANKUZO,PROVINCE DE CANKUZO
BI-12,BI,PROVINCIA DE CIBITOKE,CIBITOKE,PROVINCE DE CIBITOKE
BI-13,BI,PROVINCIA DE GITEGA,GITEGA PROVINCE,PROVINCE DE GITEGA
BI-15,BI,PROVINCIA DE KAYANZA,KAYANZA,PROVINCE DE KAYANZA
BI-16,BI,PROVINCIA DE KIRUNDO,KIRUNDO,PROVINCE DE KIRUNDO
BI-17,BI,PROVINCIA DE MAKAMBA,MAKAMBA PROVINCE,PROVINCE DE MAKAMBA
BI-18,BI,PROVINCIA DE MUYINGA,MUYINGA PROVINCE,PROVINCE DE MUYINGA
BI-19,BI,PROVINCIA DE NGOZI,NGOZI,PROVINCE DE NGOZI
BI-20,BI,PROVINCIA DE RUTANA,RUTANA,PROVINCE DE RUTANA
BI-21,BI,PROVINCIA DE RUYIGI,RUYIGI,PROVINCE DE RUYIGI
BI-22,BI,PROVINCIA DE MURAMVYA,MURAMVYA,PROVINCE DE MURAMVYA
BI-24,BI,PROVINCIA DE BUYUMBURA MAIRIE,BUJUMBURA MAIRIE,BUJUMBURA MAIRIE
BI-25,BI,PROVINCIA DE BUYUMBURA RURAL,BUJUMBURA RURAL PROVINCE,BUJUMBURA RURAL
BI-26,BI,PROVINCIA DE RUMONGE,RUMONGE PROVINCE,RUMONGE
BJ-07,BJ,ALIBORI,ALIBORI,ALIBORI
BJ-08,BJ,ATAKORA,ATAKORA,ATACORA
BJ-09,BJ,ATLANTIQUE,ATLANTIQUE DEPARTMENT,ATLANTIQUE
BJ-10,BJ,BORGOU,BORGOU DEPARTMENT,BORGOU
BJ-11,BJ,COLLINES,COLLINES,COLLINES
BJ-12,BJ,KOUFFO,KOUFFO DEPARTMENT,COUFFO
BJ-13,BJ,DONGA,DONGA,DONGA
BJ-14,BJ,LITTORAL,LITTORAL,LITTORAL
BJ-15,BJ,MONO,MONO,MONO
